"transaction_id","vendor","amount","date","purchase_order","contract_number","department"
"0179059001","BOUND TREE MEDICAL LLC","3571.7","2021-08-31","000053939401","1000017791","FIR Fire Department"
"0180166501","BOUND TREE MEDICAL LLC","10.07","2021-09-13","000053939401","1000017791","FIR Fire Department"
"0181453601","BOUND TREE MEDICAL LLC","123.91","2021-09-22","000053939401","1000017791","FIR Fire Department"
"0182143401","BOUND TREE MEDICAL LLC","457.7","2021-09-27","000053939401","1000017791","FIR Fire Department"
"0182369701","BOUND TREE MEDICAL LLC","2922.12","2021-09-28","000053939401","1000017791","FIR Fire Department"
"0182827701","BOUND TREE MEDICAL LLC","294.12","2021-10-04","000053939401","1000017791","FIR Fire Department"
"0183249801","BOUND TREE MEDICAL LLC","723.45","2021-10-07","000053939401","1000017791","FIR Fire Department"
"0183640901","BOUND TREE MEDICAL LLC","106.18","2021-10-12","000053939401","1000017791","FIR Fire Department"
"0185353201","BOUND TREE MEDICAL LLC","82.5","2021-10-26","000053939401","1000017791","FIR Fire Department"
"0186295701","BOUND TREE MEDICAL LLC","129.34","2021-11-03","000053939401","1000017791","FIR Fire Department"
"0190411401","BOUND TREE MEDICAL LLC","1897.46","2021-12-08","000053939401","1000017791","FIR Fire Department"
"0190420501","BOUND TREE MEDICAL LLC","36399.03","2021-12-08","000053939401","1000017791","FIR Fire Department"
"0190606701","BOUND TREE MEDICAL LLC","458.96","2021-12-09","000053939401","1000017791","FIR Fire Department"
"0190938101","BOUND TREE MEDICAL LLC","648.43","2021-12-13","000053939401","1000017791","FIR Fire Department"
"0191217601","BOUND TREE MEDICAL LLC","10123.21","2021-12-15","000053939401","1000017791","FIR Fire Department"
"0192493701","BOUND TREE MEDICAL LLC","13337.43","2021-12-27","000053939401","1000017791","FIR Fire Department"
"0193833301","BOUND TREE MEDICAL LLC","291.26","2022-01-10","000053939401","1000017791","FIR Fire Department"
"0193851101","BOUND TREE MEDICAL LLC","9740.4","2022-01-10","000053939401","1000017791","FIR Fire Department"
"0196289501","BOUND TREE MEDICAL LLC","2286.6","2022-02-02","000053939401","1000017791","FIR Fire Department"
"0196407801","BOUND TREE MEDICAL LLC","52.95","2022-02-03","000053939401","1000017791","FIR Fire Department"
"0197510401","BOUND TREE MEDICAL LLC","39285.56","2022-02-10","000053939401","1000017791","FIR Fire Department"
"0197521201","BOUND TREE MEDICAL LLC","632.86","2022-02-10","000053939401","1000017791","FIR Fire Department"
"0198437701","BOUND TREE MEDICAL LLC","14056.35","2022-02-17","000053939401","1000017791","FIR Fire Department"
"0173572701","MEDLINE INDUSTRIES INC","123.36","2021-07-15","000053939801","","DPH Public Health"
